Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,267.000000,267.339996,265.500000,266.559998,266.559998,57053600
2018-04-30,267.260010,267.890015,264.429993,264.510010,264.510010,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,264.980011,74203400
2018-05-02,264.760010,265.679993,262.760010,263.200012,263.200012,86368900
2018-05-03,262.260010,263.359985,259.049988,262.619995,262.619995,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,266.019989,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,266.920013,55304900
2018-05-08,266.500000,267.329987,265.149994,266.920013,266.920013,67499200
2018-05-09,267.679993,269.869995,267.089996,269.500000,269.500000,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,272.019989,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,272.850006,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,272.980011,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,271.100006,87036100
2018-05-16,271.140015,272.760010,271.109985,272.239990,272.239990,53942600
2018-05-17,271.940002,273.230011,271.130005,272.010010,272.010010,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,271.329987,64368000
2018-05-21,273.010010,273.980011,272.570007,273.369995,273.369995,58025900
2018-05-22,273.959991,274.250000,272.239990,272.609985,272.609985,52966400
2018-05-23,271.170013,273.390015,270.989990,273.359985,273.359985,61021700
2018-05-24,272.910004,273.220001,270.779999,272.799988,272.799988,76043800
2018-05-25,272.149994,272.859985,271.579987,272.149994,272.149994,54842200
